id,word,definition
639,Antigen,a toxin or foreign substance that causes the body to produce antibodies
640,Antinomy,an apparent contradiction between valid conclusions
641,Antipathy,a feeling of dislike
642,Antipodes,a nickname for Australia and New Zealand
643,Antiquated,dated; from the past
644,Antique,"an old piece of furniture, household item, or other similar item"
645,Antiquity,an out of date period
646,Antiseptic,very clean and free of disease-causing organisms
647,Antisocial,unwilling or unable to associate normally with other people
648,Antithesis,the total opposite of an object or person
649,Antithetical ,in direct contrast to an idea; in opposition of 
650,Antitrust,"a law against trusts and monopolies, designed to promote competition in business"
651,Antonym,a word that means the opposite of another word in the same language
652,Anxiety,an uncomfortable feeling of worry or nervousness
653,Anxious,worried or concerned
654,Anyway,anyhow; nevertheless
655,Apart,to be separated by a typically considerable distance
656,Apartheid,discriminatory policy of racial separation used by South Africa
657,Apathetic,having little or no interest or concern
658,Apathy,a feeling of having no interest in or enthusiasm
659,Apathy,a feeling of having no interest in or enthusiasm about anything
660,Aperture,a gap such as a hole or cavity
661,Apex,the greatest or topmost position
662,Aphorism,a brief and witty saying
663,Aphotic,a region of water that is so deep that it does not receive sunlight
664,Aphrodisiac,something that produces or enhances desire of a sexual nature
665,Apiary,a place where bees and hives are kept 
666,Apical,"top, important, best, highest"
667,Aplomb,"confidence and skill shown, especially in a difficult situation; keeping your cool"
668,Apocalypse,a huge catastrophe that causes devastating destruction and loss
669,Apocryphal,well-known but probably not true
670,Apodictic,unquestionably true or certain
671,Apogee,the highest point
672,Apologetic,remorseful; sorry for committing a wrong
673,Apologize,to express regret for one’s actions; to say that you are sorry
674,Apology,an expression of regret; remorse 
675,Apoplectic,incredibly angry
676,Apoplexy,the inability to speak or perform as a result of an intense emotion or serious medical condition
677,Apostasy,the act of renouncing one’s religious beliefs
678,Apostate,an individual who has rejected his faith or religious convictions
679,Apothecary,a person who makes and provides/sells drugs and/or medicines
680,Apothegm,"a short, witty, instructive saying"
681,Apotheosis,perfect example of something or the best point in one's life or job
682,Appalled,struck with horror
683,Appalling,very bad
684,Apparatus,"the tools, equipment, and machinery you use for particular purposes"
685,Apparel,clothing
686,Apparent,clearly visible or understood; obvious
687,Apparition,a ghostly appearing figure
688,Appeal,to make a request for
689,Appealing,tempting; alluring
690,Appear,to become visible; to come into sight
691,Appearance,what something looks like
692,Appease,to make (someone) pleased or less angry by giving or saying something desired
693,Appeasement,to calm or persuade into an agreement usually in the angry party’s favor
694,Appellation,a term or title by which a person or thing is identified
695,Append,attach; affix
696,Appendage,a limb or other extremity that stick outs from the upper or lower portion of a body
697,Appendix,the last part of a book or essay where extra information pertaining to the topic is included; sometimes with a graphic aid
698,Appertain ,to be linked to or associated with
699,Appetence,the state or action of desiring or craving
700,Appetite,a strong desire for something
701,Appetizing,"appealing or attractive, typically in reference to food"
702,Applaud,to congratulate by clapping
703,Applause,the act of praise publicly expressed by the clapping of hands
704,Appliance,a piece of equipment designed to perform a domestic task
705,Applicable,"suitable for application, relevant"
706,Applicant,one who applies for something; one who makes a request
707,Application,an official permission to a higher figure for something
708,Apply,to smear or rub a substance on something else
709,Appoint,"to assign a responsibility, job, or role to someone"
710,Appointed,"to pick or choose for a task, duty, job or title position"
711,Apportion ,to distribute in a fair way
712,Appose,to place things next to or near another thing
713,Apposite,fitting for the situation or suited
714,Apposition,a grammatical relation between an adjective and the noun behind it
715,Appraisal,an opinion or estimated value
716,Appraised,to have had its worth evaluated
717,Appreciable,adequately considered to be substantial or significant
718,Appreciate,"to understand the worth, value, or importance of something"
719,Appreciative,displaying or feeling gratitude
720,Apprehend,to catch a person for criminal reasons
721,Apprehension,capturing and arresting a lawless person
722,Apprehensive,worried that something bad may happen; afraid
723,Apprentice,trainee (beginner) especially in a skilled trade
724,Apprenticeship,job training that involves working for an expert to learn a particular trade
725,Apprise,to report on the status of something
726,Approach,so come near something
727,Approachable,easy to talk to
728,Approbation,to gain approval
729,Appropriate,right or suited for a particular situation
730,Appropriation,money set aside for a specific purpose
731,Approve,"to officially accept something, considering it good or okay"
732,Approximate,close to the exact; estimated
733,Approximately,"close to, but not exactly"
734,Appurtenant,belonging
735,Apropos,fitting; at the right time
736,Apt,likely to do something
737,Aptitude,the capability to do something well
738,Aptly,in a fitting way
739,Aptness,being suitable or right for something
740,Aquatic,"associated with water, often living in or taking place in water"
741,Aqueduct,an artificial channel that is constructed to transport water from one location to another
742,Aqueous,associated with water
743,Aquifer,a rock deposit that bears water and is under the ground 
744,Arabesque,"a graceful, Arabian design usually seen in metal, ceramic, or stone that resembles vines and leaves"
745,Arable,adequate for cultivating
746,Arbiter,one who can settle a disagreement between parties
